Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),707,-0.17090294123636163,0.0018846758915344285,-5.936216739345697,-2.2494117181563356,-0.34960550616038166,-8.49955388515226
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),808,-0.4535978337463886,-0.04534535497606729,-6.497549508891673,-1.8393320097326415,-0.2686079945951781,-8.751330310072182
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),808,-0.2586874337958789,0.0028734731367677725,-7.813163510449654,-2.5370546416748185,-0.30597841402045295,-10.732377249181843
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),808,0.21671262513263123,0.07123119901853867,-6.088891592843184,-1.3897658414012581,-0.20438845418065066,-8.033080293433713
1. 🇮🇳 Indian Nifty 50 Equities,1. LSTM-DNN (60% Real),909,-0.4588326029536294,-0.045682820731890464,-6.537404279237366,-1.8642925047400394,-0.2706189639879929,-8.810130002651626
1. 🇮🇳 Indian Nifty 50 Equities,2. Real-PPO (60% Real),909,-0.21784006829591585,0.006141825873372396,-7.315924750764427,-1.1709255651477735,-0.13121176846641508,-8.735414827819916
1. 🇮🇳 Indian Nifty 50 Equities,3. RAI v8.2 (0% Real),909,-0.3200061292295553,-0.022553308533630256,-6.465193728492356,-1.1107926800317691,-0.15082230932730226,-8.177953418317244
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),42,10.25333119925751,1.0769757196316656,-10.041684095600248,7.061325581247391,0.9694867483011068,-6.958595030834022
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),42,9.75145230760457,1.0688897363551142,-9.818897323937577,6.7936345539391985,0.9901244137266068,-6.513608164954188
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),42,7.502441998663167,1.037896116288344,-7.783823431578185,5.928553799023506,1.072033921018171,-5.080627323315535
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),101,10.244933855044192,1.0768249688656593,-10.036272417760316,7.06833579630104,0.9701519566895915,-6.953416450405163
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),101,10.299835792448064,1.115062564413638,-9.575738649291617,5.948714422764789,0.8855848490271991,-6.410117312701058
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),101,12.869234999177515,1.1192609275029428,-11.807972383095034,8.273335328858034,0.9009863348082894,-9.048766156018917
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),202,10.263109884201471,1.0769588300872104,-10.054003569474752,7.0816663370222965,0.9701034682590517,-6.9678830520868855
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),202,9.625982810814104,1.0544117581830952,-9.651902886653037,8.214346896941226,1.1395694967903698,-6.704139242298323
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),202,9.12315552293217,1.1023758144057985,-8.64518893161547,7.147517305570461,1.1082660759742664,-5.939356553397268
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),303,10.263487140386275,1.0775926090287016,-10.046288794208504,7.075848682390773,0.9690663956832295,-6.97069122030371
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),303,9.086726121622423,1.0457123696051143,-9.205985296121304,6.239067158593081,0.9101550525281635,-6.518640325630567
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),303,12.571124917033805,1.168222970214891,-10.724717833618607,8.029827627826624,0.9740273228375802,-7.704711031906358
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),404,10.24510464074131,1.0765894322951954,-10.038984211332092,7.074740195133322,0.9691618935897021,-6.970583431326929
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),404,8.190480206973948,0.9882690307928669,-8.994064006527394,6.725769419887628,1.0939350182199759,-5.451026051099678
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),404,8.021413414859735,0.9102151372984757,-9.864457931237599,7.408675833578959,1.120044396088311,-5.671026991293128
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),505,10.264164817444765,1.0775544815647249,-10.046174437175107,7.078385482694394,0.970057901440844,-6.961920594238359
